timestamp,server_id,load
0,S1,0.2
0,S2,0.18000000000000002
0,S3,0.16
0,S4,0.13
6,S1,0.23
6,S2,0.21
6,S3,0.21
6,S4,0.16
12,S1,0.27
12,S2,0.25
12,S3,0.24000000000000002
12,S4,0.24
18,S1,0.31
18,S2,0.29000000000000004
18,S3,0.29000000000000004
18,S4,0.43
24,S1,0.33
24,S2,0.31
24,S3,0.48000000000000004
24,S4,0.5
30,S1,0.39
30,S2,0.35
30,S3,0.53
30,S4,0.55
36,S1,0.42000000000000004
36,S2,0.5900000000000001
36,S3,0.57
36,S4,0.58
43,S1,0.47
43,S2,0.6200000000000001
43,S3,0.6
43,S4,0.61
49,S1,0.5
49,S2,0.6599999999999999
49,S3,0.64
49,S4,0.65
55,S1,0.52
55,S2,0.6699999999999999
55,S3,0.67
55,S4,0.6799999999999999
61,S1,0.69
61,S2,0.7
61,S3,0.71
61,S4,0.73
67,S1,0.72
67,S2,0.72
67,S3,0.73
67,S4,0.76
73,S1,0.75
73,S2,0.75
73,S3,0.78
73,S4,0.79
79,S1,0.76
79,S2,0.97
79,S3,0.79
79,S4,0.8
86,S1,0.78
86,S2,0.99
86,S3,0.79
86,S4,0.8200000000000001
92,S1,0.87
92,S2,1.0
92,S3,0.81
92,S4,0.8300000000000001
98,S1,0.88
98,S2,1.02
98,S3,0.8200000000000001
98,S4,0.8400000000000001
104,S1,0.9199999999999999
104,S2,1.04
104,S3,0.85
104,S4,0.86
110,S1,0.94
110,S2,1.07
110,S3,0.97
110,S4,0.89
116,S1,0.98
116,S2,1.1
116,S3,1.02
116,S4,0.91
122,S1,1.02
122,S2,1.12
122,S3,1.04
122,S4,1.03
128,S1,1.06
128,S2,1.16
128,S3,1.08
128,S4,1.07
135,S1,1.1099999999999999
135,S2,1.19
135,S3,1.12
135,S4,1.09
141,S1,1.15
141,S2,1.21
141,S3,1.16
141,S4,1.31
147,S1,1.17
147,S2,1.24
147,S3,1.18
147,S4,1.36
153,S1,1.37
153,S2,1.29
153,S3,1.21
153,S4,1.3900000000000001
159,S1,1.4100000000000001
159,S2,1.31
159,S3,1.25
159,S4,1.4100000000000001
165,S1,1.44
165,S2,1.36
165,S3,1.29
165,S4,1.44
171,S1,1.48
171,S2,1.38
171,S3,1.48
171,S4,1.46
177,S1,1.52
178,S2,1.41
178,S3,1.58
178,S4,1.51
184,S1,1.55
184,S2,1.52
184,S3,1.6099999999999999
184,S4,1.54
190,S1,1.5899999999999999
190,S2,1.54
190,S3,1.63
190,S4,1.5699999999999998
196,S1,1.63
196,S2,1.58
196,S3,1.6600000000000001
196,S4,1.5899999999999999
202,S1,1.6600000000000001
202,S2,1.85
202,S3,1.69
202,S4,1.63
